N_ch N_D N_Ds N_K
13 0 0 0
10 0 0 0
8 0 0 1
13 0 0 0
12 0 0 0
6 0 0 1
13 0 0 2
7 0 0 2
13 0 0 0
9 0 0 2
8 0 0 3
6 0 0 0
6 0 0 0
16 0 0 0
9 0 0 0
3 0 0 1
5 0 0 0
2 0 0 1
12 0 0 2
17 0 0 5
26 0 0 1
27 0 0 1
21 0 0 4
11 0 0 1
8 0 0 0
4 0 0 2
6 0 0 0
6 0 0 2
11 0 0 0
12 0 0 0
11 0 0 2
14 0 0 1
14 0 0 2
4 0 0 0
24 0 0 1
6 0 0 0
11 0 0 1
12 0 0 1
7 0 0 2
7 0 0 2
4 0 0 0
6 0 0 2
17 0 0 3
9 0 0 0
8 0 0 0
14 0 0 1
9 0 0 0
8 0 0 2
21 0 0 3
6 0 0 0
9 0 0 1
9 0 0 1
3 0 0 1
3 0 0 0
15 0 0 2
11 0 0 0
14 0 0 2
4 0 0 1
14 0 0 1
24 0 0 3
12 0 0 0
7 0 0 0
9 0 0 1
15 0 0 3
2 0 0 0
34 0 0 1
8 0 0 0
8 0 0 1
9 0 0 0
9 0 0 1
18 0 0 2
23 0 0 0
59 0 0 2
18 0 0 0
5 0 0 1
19 0 0 1
13 0 0 1
5 0 0 0
11 0 0 4
13 0 0 1
17 0 0 0
8 0 0 1
3 0 0 0
11 0 0 2
7 0 0 1
10 0 0 0
9 0 0 0
7 0 0 0
10 0 0 1
9 0 0 1
6 0 0 0
14 0 0 3
5 0 0 1
9 0 0 1
8 0 0 0
15 0 0 2
10 0 0 2
8 0 0 1
4 0 0 0
8 0 0 0
6 0 0 0
13 0 0 1
57 0 0 5
7 0 0 0
8 0 0 0
14 0 0 1
7 0 0 0
10 0 0 3
5 0 0 0
8 0 0 1
7 0 0 1
5 0 0 0
9 0 0 0
19 0 0 0
4 0 0 1
5 0 0 0
5 0 0 2
8 0 0 2
7 0 0 0
2 0 0 0
6 0 0 0
3 0 0 0
6 0 0 0
6 0 0 2
7 0 0 0
10 0 0 0
6 0 0 0
6 0 0 0
18 0 0 0
8 0 0 0
8 0 0 1
20 0 0 2
14 0 0 0
10 0 0 1
8 0 0 0
12 0 0 0
9 0 0 0
12 0 0 0
8 0 0 2
9 0 0 1
8 0 0 1
9 0 0 0
10 0 0 0
29 0 0 0
0 0 0 0
22 0 0 2
12 0 0 1
11 0 0 0
7 0 0 1
12 0 0 0
8 0 0 1
10 0 0 0
10 0 0 0
9 0 0 0
6 0 0 0
25 0 0 1
8 0 0 1
4 0 0 0
7 0 0 1
13 0 0 1
6 0 0 0
8 0 0 1
8 0 0 1
12 0 0 0
9 0 0 2
13 0 0 1
7 0 0 0
5 0 0 0
8 0 0 1
26 0 0 2
5 0 0 2
10 0 0 0
12 0 0 2
6 0 0 0
9 0 0 3
11 0 0 0
8 0 0 0
10 0 0 0
9 0 0 0
14 0 0 1
14 0 0 3
4 0 0 1
6 0 0 0
8 0 0 0
7 0 0 0
9 0 0 2
9 0 0 1
9 0 0 0
5 0 0 0
12 0 0 1
6 0 0 1
10 0 0 0
6 0 0 0
10 0 0 1
10 0 0 3
7 0 0 0
22 0 0 1
13 0 0 1
11 0 0 2
5 0 0 1
3 0 0 0
12 0 0 2
7 0 0 0
11 0 0 1
19 0 0 0
7 0 0 0
9 0 0 0
3 0 0 0
7 0 0 1
12 0 0 2
7 0 0 0
7 0 0 1
6 0 0 0
9 0 0 0
9 0 0 2
9 0 0 1
2 0 0 1
10 0 0 0
10 0 0 5
13 0 0 0
10 0 0 0
16 0 0 2
8 0 0 0
6 0 0 1
7 0 0 0
3 0 0 1
14 0 0 3
4 0 0 0
11 0 0 0
9 0 0 0
13 0 0 2
7 0 0 0
4 0 0 2
6 0 0 0
24 0 0 1
6 0 0 0
2 0 0 0
13 0 0 0
10 0 0 3
11 0 0 1
