
=====================================================================================
PROCESSANDO dN/dpT: |eta| < 0.5
=====================================================================================
  [Sanidade OK | Soft - Only MPI | Charged | eta_1p0]: N_ev = 1000000 | Integral dN/dpT = 6.5163 | Media <N> (Mult) = 6.5163 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Charged | eta_1p0]: N_ev = 1000007 | Integral dN/dpT = 4.8611 | Media <N> (Mult) = 4.8611 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Charged | eta_1p0]: N_ev = 1000000 | Integral dN/dpT = 5.9214 | Media <N> (Mult) = 5.9214 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Charged | eta_1p0]: N_ev = 999999 | Integral dN/dpT = 4.3135 | Media <N> (Mult) = 4.3135 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | Charged | eta_1p0]: N_ev = 999992 | Integral dN/dpT = 5.4689 | Media <N> (Mult) = 5.4689 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Charged | eta_1p0]: N_ev = 999997 | Integral dN/dpT = 4.2371 | Media <N> (Mult) = 4.2371 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Charged | eta_1p0]: N_ev = 1000010 | Integral dN/dpT = 5.0511 | Media <N> (Mult) = 5.0511 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | Charged | eta_1p0]: N_ev = 999988 | Integral dN/dpT = 4.1139 | Media <N> (Mult) = 4.1139 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D0_mesons | eta_1p0]: N_ev = 999998 | Integral dN/dpT = 0.0251 | Media <N> (Mult) = 0.0251 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D0_mesons | eta_1p0]: N_ev = 999999 | Integral dN/dpT = 0.0047 | Media <N> (Mult) = 0.0047 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D0_mesons | eta_1p0]: N_ev = 1000001 | Integral dN/dpT = 0.0164 | Media <N> (Mult) = 0.0164 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | D0_mesons | eta_1p0]: N_ev = 1000004 | Integral dN/dpT = 0.0025 | Media <N> (Mult) = 0.0025 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | D0_mesons | eta_1p0]: N_ev = 1000004 | Integral dN/dpT = 0.0084 | Media <N> (Mult) = 0.0084 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | D0_mesons | eta_1p0]: N_ev = 1000001 | Integral dN/dpT = 0.0019 | Media <N> (Mult) = 0.0019 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | D0_mesons | eta_1p0]: N_ev = 1000000 | Integral dN/dpT = 0.0079 | Media <N> (Mult) = 0.0079 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | D0_mesons | eta_1p0]: N_ev = 999995 | Integral dN/dpT = 0.0014 | Media <N> (Mult) = 0.0014 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | D0_mesons | eta_1p0]: N_ev = 999998 | Integral dN/dpT = 0.0091 | Media <N> (Mult) = 0.0091 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | D0_mesons | eta_1p0]: N_ev = 1000004 | Integral dN/dpT = 0.0015 | Media <N> (Mult) = 0.0015 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | D0_mesons | eta_1p0]: N_ev = 1000003 | Integral dN/dpT = 0.0051 | Media <N> (Mult) = 0.0051 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | D0_mesons | eta_1p0]: N_ev = 1000003 | Integral dN/dpT = 0.0011 | Media <N> (Mult) = 0.0011 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | D_mesons | eta_1p0]: N_ev = 999996 | Integral dN/dpT = 0.0128 | Media <N> (Mult) = 0.0128 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | D_mesons | eta_1p0]: N_ev = 1000005 | Integral dN/dpT = 0.0025 | Media <N> (Mult) = 0.0025 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | D_mesons | eta_1p0]: N_ev = 999997 | Integral dN/dpT = 0.0083 | Media <N> (Mult) = 0.0083 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | D_mesons | eta_1p0]: N_ev = 999999 | Integral dN/dpT = 0.0013 | Media <N> (Mult) = 0.0013 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | D_mesons | eta_1p0]: N_ev = 1000001 | Integral dN/dpT = 0.0043 | Media <N> (Mult) = 0.0043 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | D_mesons | eta_1p0]: N_ev = 999995 | Integral dN/dpT = 0.0010 | Media <N> (Mult) = 0.0010 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | D_mesons | eta_1p0]: N_ev = 999996 | Integral dN/dpT = 0.0041 | Media <N> (Mult) = 0.0041 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | D_mesons | eta_1p0]: N_ev = 1000001 | Integral dN/dpT = 0.0008 | Media <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | D_mesons | eta_1p0]: N_ev = 1000002 | Integral dN/dpT = 0.0047 | Media <N> (Mult) = 0.0047 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | D_mesons | eta_1p0]: N_ev = 999999 | Integral dN/dpT = 0.0008 | Media <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | D_mesons | eta_1p0]: N_ev = 1000002 | Integral dN/dpT = 0.0026 | Media <N> (Mult) = 0.0026 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | D_mesons | eta_1p0]: N_ev = 1000003 | Integral dN/dpT = 0.0005 | Media <N> (Mult) = 0.0005 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | Ds_mesons | eta_1p0]: N_ev = 999998 | Integral dN/dpT = 0.0047 | Media <N> (Mult) = 0.0047 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Ds_mesons | eta_1p0]: N_ev = 1000000 | Integral dN/dpT = 0.0008 | Media <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Ds_mesons | eta_1p0]: N_ev = 1000000 | Integral dN/dpT = 0.0031 | Media <N> (Mult) = 0.0031 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Ds_mesons | eta_1p0]: N_ev = 999999 | Integral dN/dpT = 0.0004 | Media <N> (Mult) = 0.0004 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Ds_mesons | eta_1p0]: N_ev = 999999 | Integral dN/dpT = 0.0015 | Media <N> (Mult) = 0.0015 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Ds_mesons | eta_1p0]: N_ev = 999996 | Integral dN/dpT = 0.0003 | Media <N> (Mult) = 0.0003 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Ds_mesons | eta_1p0]: N_ev = 1000003 | Integral dN/dpT = 0.0016 | Media <N> (Mult) = 0.0016 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Ds_mesons | eta_1p0]: N_ev = 1000004 | Integral dN/dpT = 0.0003 | Media <N> (Mult) = 0.0003 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | Ds_mesons | eta_1p0]: N_ev = 999998 | Integral dN/dpT = 0.0018 | Media <N> (Mult) = 0.0018 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Ds_mesons | eta_1p0]: N_ev = 999998 | Integral dN/dpT = 0.0003 | Media <N> (Mult) = 0.0003 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Ds_mesons | eta_1p0]: N_ev = 1000002 | Integral dN/dpT = 0.0011 | Media <N> (Mult) = 0.0011 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | Ds_mesons | eta_1p0]: N_ev = 1000003 | Integral dN/dpT = 0.0002 | Media <N> (Mult) = 0.0002 (Dif: 0.00%)

=====================================================================================
PROCESSANDO dN/dpT: |eta| < 2.0
=====================================================================================
  [Sanidade OK | Soft - All Physics | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 21.9077 | Media <N> (Mult) = 21.9078 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 12.6029 | Media <N> (Mult) = 12.6028 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 14.3134 | Media <N> (Mult) = 14.3133 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Charged | eta_2p0]: N_ev = 999992 | Integral dN/dpT = 9.6847 | Media <N> (Mult) = 9.6848 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 13.4909 | Media <N> (Mult) = 13.4909 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Charged | eta_2p0]: N_ev = 1000001 | Integral dN/dpT = 10.2613 | Media <N> (Mult) = 10.2614 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Charged | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 12.3377 | Media <N> (Mult) = 12.3377 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Charged | eta_2p0]: N_ev = 999999 | Integral dN/dpT = 9.1288 | Media <N> (Mult) = 9.1288 (Dif: 0.00%)
