
=====================================================================================
 PROCESSANDO, NORMALIZANDO E VALIDANDO: |eta| < 0.5 | pT: global
=====================================================================================
  [Sanidade OK | Hard - No Extra | D_mesons | eta_0p5]: N_ev = 1000004 | Integral dN/deta = 0.0002 | Média <N> (Mult) = 0.0002 (Dif: 0.00%)
  [Sanidade OK | Soft - All Physics | Ds_mesons | eta_0p5]: N_ev = 1000004 | Integral dN/deta = 0.0023 | Média <N> (Mult) = 0.0023 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Ds_mesons | eta_0p5]: N_ev = 999995 | Integral dN/deta = 0.0004 | Média <N> (Mult) = 0.0004 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Ds_mesons | eta_0p5]: N_ev = 999996 | Integral dN/deta = 0.0015 | Média <N> (Mult) = 0.0015 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Ds_mesons | eta_0p5]: N_ev = 999996 | Integral dN/deta = 0.0002 | Média <N> (Mult) = 0.0002 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Ds_mesons | eta_0p5]: N_ev = 1000000 | Integral dN/deta = 0.0008 | Média <N> (Mult) = 0.0008 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Ds_mesons | eta_0p5]: N_ev = 999996 | Integral dN/deta = 0.0002 | Média <N> (Mult) = 0.0002 (Dif: 0.00%)
  [Sanidade OK | Soft - Only ISR | Ds_mesons | eta_0p5]: N_ev = 1000001 | Integral dN/deta = 0.0007 | Média <N> (Mult) = 0.0007 (Dif: 0.00%)
  [Sanidade OK | Hard - Only ISR | Ds_mesons | eta_0p5]: N_ev = 999998 | Integral dN/deta = 0.0001 | Média <N> (Mult) = 0.0001 (Dif: 0.00%)
  [Sanidade OK | Soft - Only FSR | Ds_mesons | eta_0p5]: N_ev = 1000000 | Integral dN/deta = 0.0009 | Média <N> (Mult) = 0.0009 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Ds_mesons | eta_0p5]: N_ev = 1000002 | Integral dN/deta = 0.0001 | Média <N> (Mult) = 0.0001 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Ds_mesons | eta_0p5]: N_ev = 999999 | Integral dN/deta = 0.0005 | Média <N> (Mult) = 0.0005 (Dif: 0.00%)
