N_ch N_D0 N_D N_Ds
0 0 0 0
0 0 0 0
0 0 0 0
52 0 0 0
2 0 0 0
68 1 1 0
53 0 0 0
61 2 0 0
114 1 1 0
112 0 0 0
30 0 0 0
0 0 0 0
111 0 0 0
30 0 0 0
0 0 0 0
95 0 0 0
0 0 0 0
110 1 1 0
29 0 0 0
319 0 0 0
37 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
122 2 0 0
0 0 0 0
24 0 0 0
79 0 0 0
14 0 0 0
88 0 0 0
35 0 0 0
16 0 0 0
112 0 0 0
96 0 0 0
42 0 0 0
45 0 0 0
68 0 0 0
0 0 0 0
0 0 0 0
16 0 0 0
24 0 0 0
22 0 0 0
61 0 0 0
141 2 0 0
18 0 0 0
24 0 0 0
24 0 0 0
47 0 0 0
43 0 0 0
0 0 0 0
27 1 1 0
0 0 0 0
220 1 1 0
269 1 0 0
2 0 0 0
0 0 0 0
99 0 0 0
0 0 0 0
36 0 0 0
77 0 0 0
0 0 0 0
138 0 0 0
129 2 0 0
23 0 0 0
0 0 0 0
0 0 0 0
22 0 0 0
0 0 0 0
17 0 0 0
21 0 0 0
0 0 0 0
33 0 0 0
78 0 0 0
28 0 0 0
46 0 0 0
92 0 0 0
99 0 0 0
0 0 0 0
46 0 0 0
230 0 0 0
2 0 0 0
10 0 0 0
17 0 0 0
30 0 0 0
54 0 0 0
35 2 0 0
122 0 0 0
112 1 0 0
185 0 0 0
125 0 1 1
55 0 0 0
55 0 0 0
117 3 1 0
0 0 0 0
0 0 0 0
0 0 0 0
15 0 0 0
25 0 0 0
0 0 0 0
23 0 0 0
19 0 0 0
61 0 0 0
3 0 0 0
39 0 0 0
101 0 0 0
30 0 0 0
0 0 0 0
14 0 0 0
31 0 0 0
23 0 0 0
140 0 0 0
20 0 0 0
78 0 0 0
57 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
25 0 0 0
32 0 0 0
32 2 0 0
44 0 0 0
0 0 0 0
52 0 0 0
33 0 0 0
0 0 0 0
0 0 0 0
160 0 0 0
0 0 0 0
14 0 0 0
23 1 0 0
35 0 0 0
0 0 0 0
108 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
87 0 0 0
0 0 0 0
36 0 0 0
23 0 0 0
0 0 0 0
15 0 0 0
22 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
200 1 1 0
34 0 0 0
