N_ch N_D0 N_D N_Ds
93 0 0 0
20 0 0 0
0 0 0 0
0 0 0 0
129 0 0 0
0 0 0 0
52 0 2 0
40 0 0 0
0 0 0 0
0 0 0 0
21 0 0 0
0 0 0 0
0 0 0 0
26 0 0 0
25 0 0 0
69 1 1 1
0 0 0 0
12 0 0 0
14 0 0 0
123 0 2 0
105 0 0 0
15 0 0 0
0 0 0 0
56 0 0 0
111 0 0 0
17 0 0 0
0 0 0 0
102 0 2 0
126 2 2 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
41 0 0 0
21 0 0 0
35 0 0 0
0 0 0 0
28 0 0 0
0 0 0 0
57 0 0 0
67 1 0 0
0 0 0 0
94 0 0 0
0 0 0 0
14 0 0 0
12 0 0 0
87 0 0 0
82 0 0 0
0 0 0 0
66 0 1 0
9 0 0 0
0 0 0 0
23 0 0 0
42 0 0 0
73 1 0 1
0 0 0 0
31 0 0 0
40 0 2 0
7 0 0 0
15 0 0 0
12 0 0 0
10 0 0 0
25 0 0 0
0 0 0 0
0 0 0 0
28 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
129 0 0 0
28 0 0 0
18 0 0 0
0 0 0 0
0 0 0 0
16 0 0 0
20 0 0 0
50 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
13 0 0 0
34 0 0 0
4 0 0 0
19 0 0 0
99 0 0 0
11 0 0 0
19 0 0 0
119 0 0 0
100 0 1 0
31 0 0 0
74 2 0 0
57 0 0 0
2 0 0 0
28 0 0 0
4 0 0 0
0 0 0 0
0 0 0 0
13 0 0 0
100 0 0 0
25 0 0 0
12 0 0 0
0 0 0 0
19 0 0 0
0 0 0 0
0 0 0 0
45 0 0 0
28 0 0 0
122 0 2 0
0 0 0 0
28 0 0 0
0 0 0 0
87 0 0 0
15 0 0 0
0 0 0 0
23 0 0 0
0 0 0 0
27 0 0 0
29 0 0 0
15 0 0 0
219 1 1 0
32 0 0 0
27 0 0 0
68 0 0 0
77 0 0 0
31 0 0 0
83 0 0 0
21 2 0 0
16 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
110 0 0 0
18 0 0 0
28 0 0 0
105 0 0 0
21 0 0 0
112 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
31 0 0 0
0 0 0 0
1 0 0 0
82 0 0 0
38 2 1 1
58 0 1 1
6 0 0 0
79 0 0 0
133 1 0 0
22 0 0 0
75 0 0 0
0 0 0 0
57 0 0 0
31 0 0 0
76 1 0 0
25 0 0 0
27 0 0 0
19 0 0 0
28 0 0 0
12 0 0 0
0 0 0 0
18 0 0 0
16 0 0 0
106 1 1 0
26 0 0 0
0 0 0 0
44 0 0 0
0 0 0 0
30 0 0 0
101 0 0 0
0 0 0 0
9 0 0 0
0 0 0 0
86 0 0 0
95 1 1 0
63 0 0 0
0 0 0 0
96 0 0 0
55 0 0 0
4 0 0 0
124 0 0 0
19 0 0 0
13 0 0 0
61 0 0 0
73 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
15 0 0 0
8 0 0 0
3 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
36 0 0 0
13 0 0 0
7 0 0 0
0 0 0 0
61 0 0 0
100 0 0 0
0 0 0 0
15 0 0 0
57 0 0 0
10 0 0 0
46 0 0 1
0 0 0 0
39 0 0 0
146 1 1 0
0 0 0 0
0 0 0 0
45 0 0 0
56 0 0 0
2 0 0 0
36 0 0 0
20 0 0 0
61 1 0 1
16 0 0 0
20 0 0 0
0 0 0 0
100 0 0 0
27 0 0 0
29 0 0 0
159 0 0 0
2 0 0 0
59 0 0 0
17 0 0 0
166 1 0 0
52 0 0 0
51 0 0 0
8 0 0 0
11 0 0 0
100 2 0 0
28 0 0 0
29 0 0 0
41 0 0 0
143 2 0 0
50 1 0 1
70 0 0 0
62 0 0 0
0 0 0 0
14 0 0 0
136 0 0 0
0 0 0 0
59 0 0 0
71 0 0 0
21 0 0 0
4 0 0 0
0 0 0 0
91 0 0 0
40 0 0 0
57 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
84 0 0 0
49 0 0 0
32 0 0 0
0 0 0 0
23 0 0 0
0 0 0 0
36 0 0 0
35 0 0 0
89 0 2 0
10 0 0 0
0 0 0 0
11 0 0 0
0 0 0 0
88 3 1 2
146 2 0 1
2 0 0 0
40 0 0 0
14 0 0 0
16 0 0 0
37 0 0 0
72 0 1 0
0 0 0 0
0 0 0 0
16 0 0 0
11 0 0 0
16 0 0 0
0 0 0 0
36 0 0 0
0 0 0 0
159 0 0 0
60 0 0 0
0 0 0 0
82 1 0 0
0 0 0 0
80 0 0 0
87 0 0 1
2 0 0 0
87 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
0 0 0 0
99 0 0 0
81 0 0 0
84 0 0 0
16 0 0 0
36 0 0 0
20 0 0 0
1 0 0 0
77 0 0 0
0 0 0 0
112 0 2 0
0 0 0 0
112 0 1 0
30 0 0 0
16 0 1 0
62 0 0 0
0 0 0 0
