N_ch N_D0 N_D N_Ds
0 0 0 0
0 0 0 0
0 0 0 0
23 0 0 0
1 0 0 0
34 0 0 0
20 0 0 0
19 0 0 0
65 1 1 0
37 0 0 0
15 0 0 0
0 0 0 0
56 0 0 0
10 0 0 0
0 0 0 0
56 0 0 0
0 0 0 0
54 0 0 0
16 0 0 0
163 0 0 0
14 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
72 2 0 0
0 0 0 0
14 0 0 0
37 0 0 0
6 0 0 0
51 0 0 0
18 0 0 0
8 0 0 0
57 0 0 0
63 0 0 0
25 0 0 0
19 0 0 0
30 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
8 0 0 0
14 0 0 0
33 0 0 0
64 2 0 0
6 0 0 0
14 0 0 0
15 0 0 0
25 0 0 0
21 0 0 0
0 0 0 0
11 0 1 0
0 0 0 0
109 1 1 0
159 1 0 0
0 0 0 0
0 0 0 0
38 0 0 0
0 0 0 0
13 0 0 0
39 0 0 0
0 0 0 0
65 0 0 0
64 1 0 0
4 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
0 0 0 0
9 0 0 0
10 0 0 0
0 0 0 0
22 0 0 0
26 0 0 0
13 0 0 0
18 0 0 0
45 0 0 0
55 0 0 0
0 0 0 0
22 0 0 0
122 0 0 0
0 0 0 0
3 0 0 0
9 0 0 0
13 0 0 0
28 0 0 0
14 2 0 0
69 0 0 0
60 1 0 0
93 0 0 0
67 0 1 1
28 0 0 0
34 0 0 0
66 2 1 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
14 0 0 0
0 0 0 0
9 0 0 0
7 0 0 0
32 0 0 0
0 0 0 0
15 0 0 0
47 0 0 0
12 0 0 0
0 0 0 0
1 0 0 0
18 0 0 0
7 0 0 0
63 0 0 0
6 0 0 0
41 0 0 0
29 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
9 0 0 0
14 0 0 0
19 1 0 0
22 0 0 0
0 0 0 0
29 0 0 0
13 0 0 0
0 0 0 0
0 0 0 0
73 0 0 0
0 0 0 0
8 0 0 0
12 0 0 0
16 0 0 0
0 0 0 0
54 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
50 0 0 0
0 0 0 0
22 0 0 0
16 0 0 0
0 0 0 0
5 0 0 0
8 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
107 1 0 0
17 0 0 0
