N_ch N_D0 N_D N_Ds
13 0 0 0
14 0 0 0
14 0 0 0
34 0 0 0
11 0 0 0
18 0 0 0
34 0 0 0
17 0 0 0
13 0 0 0
25 0 0 0
22 0 0 0
23 0 0 0
11 0 0 0
16 0 0 0
34 0 0 0
11 0 0 0
15 0 0 0
14 0 0 0
15 0 0 0
24 0 0 0
10 0 0 0
15 0 0 0
13 0 0 0
11 0 0 0
14 0 0 0
19 0 0 0
17 0 0 0
12 0 0 0
9 0 0 0
31 0 0 0
11 0 0 0
89 0 0 0
15 0 0 0
13 0 0 0
16 0 0 0
6 0 0 0
37 0 0 0
16 0 0 0
33 0 0 0
15 0 0 0
13 0 0 0
20 1 0 0
12 0 0 0
10 0 0 0
22 0 0 0
8 0 0 0
76 0 0 0
9 0 0 0
19 0 0 0
13 0 0 0
18 0 0 0
19 0 0 0
26 0 0 0
25 0 0 0
24 0 0 0
5 0 0 0
16 0 0 0
29 0 0 0
10 0 0 0
22 0 0 0
28 0 0 0
10 0 0 0
8 0 0 0
13 0 0 0
21 0 0 0
35 0 0 0
10 0 0 0
13 0 0 0
11 0 0 0
15 0 0 0
19 0 0 0
43 0 0 0
22 0 0 0
20 0 0 0
7 0 0 0
23 0 0 0
12 0 0 0
14 0 0 0
22 0 0 0
53 0 0 0
24 0 0 0
15 0 0 0
14 0 0 0
22 0 0 0
25 0 0 0
13 0 0 0
16 0 0 0
64 2 2 0
20 0 0 0
38 0 0 0
9 0 0 0
70 0 0 0
59 0 0 0
15 0 0 0
16 0 0 0
18 0 0 0
70 0 0 0
11 0 0 0
15 0 0 0
12 0 0 0
15 0 0 0
12 0 0 0
12 0 0 0
16 0 0 0
15 0 0 0
14 0 0 0
26 0 0 0
15 0 0 0
46 0 0 0
7 0 0 0
27 0 0 0
7 0 0 0
12 0 0 0
26 0 0 0
31 0 0 0
55 0 0 0
14 0 0 0
23 0 0 0
19 0 0 0
13 0 0 0
15 0 0 0
49 0 0 0
20 0 0 0
12 0 0 0
12 0 0 0
13 0 0 0
13 0 0 0
54 0 0 0
18 0 0 0
15 0 0 0
14 0 0 0
13 0 0 0
20 0 0 0
16 0 0 0
11 0 0 0
15 0 0 0
103 0 0 0
30 0 0 0
25 0 0 0
12 0 0 0
28 0 0 0
10 0 0 0
29 0 0 0
29 0 0 0
12 0 0 0
29 1 0 0
23 0 0 0
12 0 0 0
7 0 0 0
11 0 0 0
