N_ch N_D N_Ds N_K
18 0 0 3
23 0 0 2
18 0 0 2
40 0 0 5
18 0 0 1
27 0 0 1
16 0 0 0
23 0 0 1
32 0 0 0
28 0 0 1
25 0 0 0
24 0 0 3
18 0 0 3
11 0 0 0
27 0 0 2
27 0 0 0
37 0 0 5
50 0 0 8
14 0 0 1
20 0 0 9
20 0 0 2
23 0 0 5
15 0 0 1
33 0 0 0
19 0 0 0
13 0 0 0
20 0 0 2
23 0 0 1
15 0 0 1
53 0 0 3
21 0 0 2
17 0 0 2
29 0 0 1
15 0 0 1
43 0 0 2
15 0 0 3
17 0 0 0
17 0 0 0
19 0 0 0
43 0 0 5
20 0 0 5
30 0 0 5
24 0 0 1
17 0 0 3
18 0 0 1
62 0 0 3
21 0 0 2
15 0 0 0
19 0 0 1
7 0 0 0
24 0 0 0
16 0 0 0
51 0 0 4
24 0 0 3
18 0 0 0
23 0 0 6
18 0 0 0
17 0 0 0
10 0 0 1
20 0 0 0
38 0 0 1
20 0 0 1
37 0 0 1
10 0 0 1
18 0 0 0
9 0 0 0
14 0 0 1
20 0 0 0
31 0 0 2
32 0 0 1
20 0 0 2
17 0 0 5
17 0 0 3
23 0 0 3
20 0 0 1
25 0 0 2
16 0 0 2
19 0 0 1
13 0 0 0
13 0 0 0
38 0 0 1
53 0 0 7
39 0 0 1
16 0 0 1
15 0 0 3
22 0 0 0
18 0 0 1
20 0 0 5
24 0 0 2
17 0 0 3
83 0 0 3
24 0 0 3
13 0 0 0
18 0 0 0
26 0 0 3
67 0 0 2
22 0 0 1
22 0 0 2
32 0 0 4
18 0 0 3
23 0 0 0
25 0 0 2
33 0 0 2
21 0 0 2
37 0 0 4
22 0 0 1
28 0 0 4
15 0 0 1
22 0 0 2
21 0 0 4
49 0 0 6
19 0 0 1
20 0 0 4
85 0 0 4
27 0 0 3
20 0 0 1
29 0 0 2
34 0 0 0
11 0 0 0
9 0 0 4
19 0 0 1
48 0 0 2
20 0 0 5
11 0 0 1
25 0 0 2
21 0 0 3
37 0 0 2
79 0 0 9
23 0 0 4
83 0 0 6
25 0 0 3
13 0 0 1
20 0 0 4
25 0 0 1
33 0 0 1
5 0 0 0
65 0 0 7
23 0 0 0
23 0 0 5
15 0 0 0
17 0 0 4
17 0 0 4
15 0 0 1
18 0 0 3
15 0 0 0
25 0 0 2
18 0 0 2
18 0 0 4
62 0 0 5
17 0 0 1
21 0 0 2
16 0 0 0
20 0 0 4
14 0 0 1
18 0 0 2
13 0 0 0
13 0 0 0
22 0 0 2
13 0 0 0
16 0 0 3
11 0 0 0
15 0 0 1
52 0 0 8
32 0 0 7
25 0 0 2
25 0 0 0
27 0 0 1
27 0 0 1
20 0 0 2
17 0 0 3
24 0 0 4
20 0 0 0
14 0 0 0
22 0 0 2
12 0 0 1
22 0 0 1
21 0 0 0
20 0 0 6
16 0 0 0
27 0 0 2
36 0 0 5
21 0 0 6
21 0 0 3
23 0 0 4
109 0 0 5
19 0 0 0
18 0 0 1
17 0 0 1
23 0 0 4
9 0 0 0
39 0 0 2
37 0 0 1
21 0 0 3
51 0 0 3
15 0 0 0
18 0 0 1
18 0 0 3
27 0 0 1
58 0 0 3
21 0 0 0
18 0 0 0
34 0 0 4
9 0 0 2
16 0 0 1
19 0 0 2
16 0 0 1
21 0 0 0
24 0 0 0
19 0 0 5
18 0 0 1
17 0 0 1
130 0 0 9
16 0 0 2
18 0 0 2
26 0 0 0
21 0 0 2
25 0 0 2
22 0 0 1
96 0 0 8
32 0 0 4
17 0 0 3
19 0 0 2
24 0 0 3
14 0 0 2
10 0 0 0
27 0 0 2
19 0 0 0
12 0 0 1
17 0 0 0
19 0 0 3
46 2 0 4
21 0 0 2
26 0 0 2
33 0 0 3
202 0 0 19
54 0 1 5
23 0 0 2
23 0 0 2
30 0 0 2
21 0 0 2
16 0 0 1
13 0 0 1
38 0 0 2
16 0 0 3
21 0 0 1
17 0 0 2
16 0 0 0
38 0 0 0
26 0 0 4
23 0 0 1
33 0 0 2
17 0 0 1
25 0 0 5
27 0 0 4
22 0 0 2
20 0 0 2
23 0 0 0
16 0 0 1
36 0 0 0
18 0 0 0
23 0 0 2
23 0 0 4
19 0 0 5
23 0 0 0
29 0 0 3
14 0 0 0
10 0 0 0
25 0 0 2
23 0 0 1
24 0 0 3
59 0 0 10
28 0 0 2
16 0 0 1
27 0 0 1
34 0 0 4
28 0 0 4
25 0 0 2
16 0 0 1
23 0 0 2
11 0 0 0
15 0 0 2
46 0 0 2
62 0 0 8
30 0 0 4
34 0 0 3
20 0 0 2
30 0 0 4
21 0 0 2
23 0 0 4
27 0 0 1
23 0 0 4
56 0 0 8
13 0 0 1
20 0 0 0
12 0 0 0
143 0 0 15
71 1 0 6
12 0 0 2
24 0 0 3
30 0 0 1
17 0 0 0
23 0 0 1
32 0 0 5
18 0 0 2
26 0 0 1
19 0 0 2
19 0 0 1
21 0 0 3
20 0 0 2
31 0 0 2
24 0 0 0
80 0 0 9
35 0 0 4
32 0 0 1
26 0 0 3
27 0 0 3
22 0 0 1
3 0 0 0
20 0 0 1
20 0 0 1
20 0 0 0
19 0 0 2
33 0 0 6
14 0 0 1
25 0 0 4
25 0 0 2
17 0 0 1
33 0 0 2
36 0 0 3
26 0 0 0
14 0 0 2
18 0 0 0
25 0 0 5
19 0 0 0
10 0 0 0
19 0 0 1
23 0 0 1
24 0 0 1
28 0 0 4
22 0 0 0
32 0 0 5
16 0 0 1
32 0 0 2
14 0 0 1
33 0 0 6
39 0 0 1
36 0 0 2
18 0 0 1
23 0 0 2
16 0 0 3
24 0 0 1
34 0 0 4
13 0 0 0
30 0 0 1
16 0 0 0
29 0 0 4
43 0 0 5
10 0 0 3
33 0 0 1
30 0 0 5
20 0 0 1
40 0 0 5
53 0 0 6
32 0 0 7
196 0 0 27
32 0 0 2
35 0 0 3
17 0 0 1
19 0 0 1
26 0 0 3
17 0 0 0
18 0 0 4
25 0 0 1
14 0 0 1
15 0 0 2
45 0 0 3
11 0 0 0
20 0 0 1
50 0 0 2
22 0 0 0
21 0 0 7
24 0 0 0
12 0 0 0
17 0 0 2
22 0 0 2
22 0 0 3
50 0 0 3
26 0 0 2
15 0 0 1
37 0 0 4
19 0 0 2
20 0 0 1
22 0 0 2
15 0 0 3
10 0 0 0
32 0 0 0
23 0 0 1
28 0 0 2
18 0 0 0
34 0 0 2
29 0 0 3
25 0 0 0
18 0 0 2
30 0 0 2
48 0 0 5
16 0 0 2
24 0 0 3
19 0 0 1
27 0 0 6
37 0 0 0
28 0 0 3
23 0 0 1
20 0 0 1
28 0 0 2
27 0 0 5
44 0 0 2
52 0 0 5
18 0 0 0
34 0 0 3
130 0 0 7
35 0 0 7
21 0 0 5
15 0 0 2
11 0 0 1
33 0 0 1
36 0 0 4
11 0 0 1
12 0 0 2
21 0 0 1
15 0 0 0
22 0 0 8
37 0 0 4
21 0 0 2
21 0 0 2
18 0 0 2
13 0 0 0
21 0 0 1
36 0 0 4
16 0 0 2
19 0 0 0
19 0 0 1
23 0 0 0
54 0 0 4
26 0 0 1
16 0 0 0
20 0 0 4
27 0 0 1
65 0 0 5
23 0 0 0
23 0 0 2
65 0 0 5
11 0 0 3
19 0 0 3
19 0 0 1
18 0 0 1
14 0 0 0
22 0 0 0
24 0 0 3
16 0 0 1
18 0 0 2
101 0 0 6
41 1 0 5
19 0 0 1
16 0 0 1
17 0 0 3
122 0 0 11
30 0 0 2
9 0 0 0
85 0 0 9
27 0 0 0
12 0 0 1
62 0 0 4
31 0 0 1
22 0 0 2
12 0 0 2
23 0 0 3
22 0 0 2
6 0 0 1
21 0 0 3
20 0 0 5
80 0 0 6
25 0 0 3
22 0 0 2
13 0 0 4
20 0 0 2
28 0 0 5
28 0 0 3
42 0 0 6
6 0 0 1
27 0 0 2
26 0 0 1
20 0 0 0
46 0 0 5
15 0 0 3
19 0 0 3
29 0 0 4
18 0 0 1
30 0 0 1
18 0 0 3
23 0 0 4
19 0 0 4
20 0 0 1
20 0 0 4
22 0 0 2
13 0 0 2
31 0 0 3
18 0 0 2
4 0 0 0
37 0 0 1
14 0 0 1
77 0 0 7
23 0 0 1
16 0 0 1
44 0 0 8
33 0 0 5
17 0 0 2
44 0 0 9
12 0 0 1
22 0 0 4
18 0 0 1
15 0 0 2
14 0 0 0
31 0 0 1
12 0 0 4
19 0 0 2
37 0 0 3
16 0 0 4
18 0 0 0
25 0 0 0
19 0 0 1
15 0 0 0
26 0 0 4
12 0 0 1
16 0 0 3
27 0 0 2
12 0 0 1
16 0 0 0
21 0 0 0
61 0 0 0
56 0 0 11
14 0 0 2
15 0 0 0
40 0 0 5
20 0 0 0
17 0 0 1
21 0 0 0
19 0 0 2
36 0 0 4
16 0 0 1
68 0 0 6
12 0 0 3
11 0 0 0
21 0 0 3
21 0 0 1
23 0 0 1
27 0 0 4
18 0 0 0
27 0 0 2
0 0 0 0
46 0 0 6
18 0 0 0
26 0 0 0
16 0 0 0
13 0 0 1
9 0 0 1
18 0 0 2
22 0 0 1
21 0 0 2
15 0 0 0
25 0 0 3
57 0 0 7
24 0 0 3
13 0 0 0
17 0 0 2
54 0 0 3
28 0 0 9
33 0 0 1
16 0 0 1
24 0 0 3
14 0 0 1
25 0 0 2
10 0 0 2
21 0 0 5
18 0 0 1
20 0 0 3
31 0 0 1
20 0 0 1
13 0 0 3
37 0 0 3
19 0 0 1
48 0 0 5
20 0 0 2
20 0 0 3
41 0 0 3
15 0 0 1
57 0 0 7
77 0 0 4
89 0 0 10
14 0 0 1
14 0 0 3
5 0 0 1
33 0 0 0
27 0 0 5
20 0 0 4
5 0 0 0
17 0 0 0
20 0 0 0
20 0 0 4
22 0 0 0
31 0 0 1
21 0 0 2
26 0 0 2
14 0 0 1
52 0 0 3
22 0 0 2
17 0 0 3
59 0 0 3
60 0 0 2
19 0 0 2
29 0 0 0
18 0 0 5
44 0 0 8
25 0 1 3
44 1 1 5
19 0 0 3
24 0 0 5
15 0 0 1
19 0 0 3
15 0 0 0
13 0 0 1
26 0 0 3
21 0 0 2
23 0 0 1
21 0 0 3
13 0 0 1
16 0 0 0
163 0 0 16
17 0 0 0
54 0 0 1
27 0 0 5
26 0 0 5
26 0 0 2
13 0 0 1
22 0 0 3
21 0 0 2
31 0 0 3
13 0 0 2
26 0 0 1
24 0 0 3
19 0 0 5
13 0 0 2
20 0 0 3
18 0 0 1
27 0 0 3
28 0 0 3
31 1 0 0
26 0 0 5
10 0 0 1
22 0 0 0
22 0 0 1
17 0 0 2
26 0 0 5
18 0 0 6
25 0 0 2
34 0 0 2
15 0 0 3
32 0 0 5
52 0 0 3
14 0 0 0
12 0 0 1
24 0 0 2
30 0 0 1
20 0 0 1
20 0 0 1
20 0 0 1
38 0 0 2
50 0 0 3
22 0 0 1
18 0 0 1
17 0 0 2
27 0 0 2
19 0 0 0
48 0 0 3
46 0 0 7
21 0 0 1
19 0 0 2
24 0 0 3
74 0 0 8
17 0 0 2
26 0 0 3
28 0 0 4
14 0 0 1
25 0 0 4
6 0 0 0
67 0 0 9
20 0 0 1
18 0 0 1
39 0 0 2
21 0 0 2
8 0 0 1
36 1 0 1
22 0 0 2
21 0 0 2
41 0 0 1
19 0 0 2
7 0 0 1
45 0 0 4
14 0 0 1
9 0 0 2
16 0 0 0
17 0 0 2
