 -9.5000e-01  1.4200e+02
 -8.5000e-01  1.1800e+02
 -7.5000e-01  1.0400e+02
 -6.5000e-01  1.3900e+02
 -5.5000e-01  1.3200e+02
 -4.5000e-01  1.1500e+02
 -3.5000e-01  1.2100e+02
 -2.5000e-01  1.4100e+02
 -1.5000e-01  1.5000e+02
 -5.0000e-02  1.2100e+02
  5.0000e-02  1.3000e+02
  1.5000e-01  1.2900e+02
  2.5000e-01  1.0600e+02
  3.5000e-01  1.4500e+02
  4.5000e-01  1.3500e+02
  5.5000e-01  1.3200e+02
  6.5000e-01  1.3300e+02
  7.5000e-01  1.2400e+02
  8.5000e-01  1.2400e+02
  9.5000e-01  1.3500e+02
