N_ch N_D N_Ds N_K
19 0 0 0
15 0 0 5
32 0 0 4
0 0 0 0
9 0 0 0
27 0 0 2
0 0 0 0
19 0 0 0
29 0 0 1
32 0 0 3
16 0 0 2
12 0 0 0
9 0 0 0
20 0 0 3
92 0 0 6
35 0 0 7
4 0 0 0
0 0 0 0
0 0 0 0
15 0 0 0
21 0 0 0
0 0 0 0
20 0 0 1
14 0 0 1
10 0 0 0
23 0 0 2
34 0 0 0
32 0 0 1
18 0 0 1
0 0 0 0
13 0 0 3
90 0 0 7
22 0 0 4
0 0 0 0
56 0 0 1
34 0 0 1
0 0 0 0
63 0 0 6
0 0 0 0
16 0 0 3
20 0 0 1
73 0 0 10
17 0 0 0
76 0 0 3
37 0 0 5
0 0 0 0
23 0 0 1
0 0 0 0
16 0 0 3
0 0 0 0
26 0 0 2
0 0 0 0
18 0 0 3
31 0 0 1
29 0 0 1
0 0 0 0
41 0 0 1
70 0 0 1
18 0 0 1
38 0 0 5
36 0 0 3
7 0 0 0
32 0 0 0
0 0 0 0
0 0 0 0
75 0 0 5
39 0 0 2
47 0 0 4
14 0 0 0
77 0 0 3
16 0 0 3
0 0 0 0
29 0 0 2
0 0 0 0
0 0 0 0
21 0 0 2
38 0 0 8
0 0 0 0
0 0 0 0
0 0 0 0
158 0 0 10
44 0 0 1
60 0 0 2
24 0 0 4
39 0 0 2
0 0 0 0
0 0 0 0
46 0 0 8
67 0 0 5
22 0 0 1
39 0 0 6
84 0 0 6
19 0 0 2
51 0 0 4
28 2 0 2
0 0 0 0
44 0 0 2
20 0 0 0
0 0 0 0
46 0 0 5
21 0 0 0
25 0 0 4
49 0 0 5
77 0 0 5
106 0 0 5
104 0 0 5
44 0 0 6
12 0 0 2
24 0 0 3
82 0 0 7
0 0 0 0
23 0 0 4
35 0 0 3
0 0 0 0
24 0 0 5
0 0 0 0
28 0 0 4
9 0 0 0
0 0 0 0
157 0 0 16
0 0 0 0
80 0 0 8
59 0 0 7
0 0 0 0
36 0 0 2
30 0 0 1
15 0 0 1
0 0 0 0
60 0 0 4
10 0 0 2
28 0 0 3
0 0 0 0
0 0 0 0
22 0 0 2
0 0 0 0
125 0 0 7
58 0 0 3
0 0 0 0
0 0 0 0
33 0 0 1
73 0 0 8
26 0 0 4
0 0 0 0
0 0 0 0
0 0 0 0
64 0 0 6
8 0 0 1
118 0 0 13
67 0 0 7
0 0 0 0
0 0 0 0
19 0 0 2
111 0 0 14
72 0 0 6
0 0 0 0
0 0 0 0
0 0 0 0
46 0 0 4
107 0 0 7
37 0 0 2
107 0 0 11
17 0 0 2
34 0 0 2
53 0 0 2
16 0 0 0
27 0 0 1
12 0 0 2
22 0 0 3
57 0 0 5
19 0 0 2
72 1 0 11
13 0 0 1
20 0 0 2
123 0 0 12
0 0 0 0
18 0 0 1
21 0 0 1
33 0 0 3
23 0 0 5
0 0 0 0
12 0 0 0
13 0 0 2
0 0 0 0
2 0 0 0
38 0 0 3
29 0 0 0
30 0 0 0
21 0 0 1
24 0 0 1
56 0 0 5
48 0 0 4
65 0 0 4
19 0 0 3
70 0 0 4
61 0 0 1
25 0 0 3
29 0 0 3
0 0 0 0
10 0 0 2
0 0 0 0
24 0 0 0
0 0 0 0
60 0 0 3
36 0 0 3
15 0 0 2
14 0 0 1
0 0 0 0
0 0 0 0
0 0 0 0
97 1 0 14
21 0 0 1
0 0 0 0
0 0 0 0
32 0 0 2
20 0 0 0
0 0 0 0
22 0 0 3
28 0 0 3
22 0 0 2
132 0 0 11
0 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
23 0 0 0
0 0 0 0
21 0 0 3
48 0 0 3
14 0 0 2
11 0 0 2
0 0 0 0
0 0 0 0
97 0 0 9
20 0 0 0
77 0 0 6
0 0 0 0
17 0 0 4
49 0 0 7
31 0 0 5
14 0 0 1
73 0 0 3
0 0 0 0
32 0 1 5
69 0 0 6
23 0 0 1
118 0 0 13
44 0 0 1
60 0 0 9
116 0 0 3
33 0 0 4
0 0 0 0
109 0 0 11
0 0 0 0
31 0 0 1
15 0 0 1
28 0 0 3
0 0 0 0
0 0 0 0
25 0 0 2
81 0 0 7
142 0 0 14
75 0 0 7
15 0 0 2
0 0 0 0
22 0 0 2
14 0 0 1
0 0 0 0
0 0 0 0
83 0 0 5
24 0 0 2
38 0 0 3
61 0 0 3
38 0 0 4
0 0 0 0
62 0 0 0
23 0 0 1
61 0 0 4
0 0 0 0
0 0 0 0
31 0 0 2
87 0 0 7
44 0 0 6
14 0 0 0
27 0 0 2
0 0 0 0
145 0 0 6
27 0 0 3
0 0 0 0
12 0 0 3
18 0 0 2
0 0 0 0
0 0 0 0
29 0 0 3
1 0 0 0
24 0 0 1
41 0 0 2
136 1 0 13
41 0 0 1
20 0 0 1
14 0 0 1
0 0 0 0
85 0 0 13
0 0 0 0
5 0 0 0
49 0 0 5
37 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
120 0 0 15
15 0 0 1
40 0 0 2
0 0 0 0
67 0 0 2
0 0 0 0
0 0 0 0
0 0 0 0
66 0 0 3
14 0 0 0
26 0 0 5
0 0 0 0
68 0 0 3
26 0 0 2
24 0 0 3
0 0 0 0
10 0 0 1
2 0 0 0
4 0 0 0
45 0 0 2
25 0 0 3
28 0 0 0
0 0 0 0
109 0 0 12
139 0 0 9
20 0 0 2
12 0 0 2
24 0 0 4
14 0 0 1
46 0 0 6
0 0 0 0
26 0 0 2
28 0 0 3
0 0 0 0
18 0 0 0
16 0 0 3
9 0 0 0
0 0 0 0
27 0 0 3
3 0 0 0
78 0 0 8
48 0 0 6
0 0 0 0
0 0 0 0
32 0 0 2
24 0 0 2
42 0 0 3
23 0 0 2
28 0 0 3
19 0 0 3
58 0 0 6
2 0 0 0
34 0 0 0
97 0 0 13
43 0 0 4
44 0 0 3
41 0 0 2
40 0 0 2
68 0 0 5
17 0 0 2
40 0 0 2
54 0 0 4
32 0 0 1
66 0 0 9
0 0 0 0
70 0 0 4
61 0 0 6
13 0 0 0
0 0 0 0
10 0 0 0
36 0 0 3
0 0 0 0
64 0 1 6
24 0 0 2
21 0 0 2
36 0 0 2
0 0 0 0
0 0 0 0
0 0 0 0
56 0 0 1
71 0 0 9
48 0 0 2
0 0 0 0
7 0 0 1
0 0 0 0
0 0 0 0
102 0 0 7
15 0 0 1
0 0 0 0
117 0 0 14
23 0 0 2
33 0 0 3
96 0 0 5
0 0 0 0
28 0 0 0
28 0 0 0
70 0 0 3
58 0 0 2
8 0 0 1
24 0 0 2
0 0 0 0
14 0 0 2
14 0 0 0
23 0 0 0
24 0 0 2
42 0 0 3
60 0 0 6
18 0 0 1
7 0 0 0
0 0 0 0
18 0 0 4
24 0 0 3
106 0 0 12
25 0 0 5
47 0 0 0
45 0 0 5
0 0 0 0
4 0 0 0
0 0 0 0
45 0 0 5
62 0 0 8
38 0 0 2
41 0 0 5
46 0 0 5
0 0 0 0
103 0 0 10
77 0 0 4
0 0 0 0
60 0 0 6
37 0 0 2
0 0 0 0
26 0 0 4
0 0 0 0
30 0 0 1
22 0 0 2
100 0 0 4
27 0 0 6
0 0 0 0
0 0 0 0
15 0 0 4
0 0 0 0
24 0 0 0
27 0 0 2
0 0 0 0
69 0 0 4
25 0 0 0
34 0 0 2
68 0 0 4
30 0 0 3
43 0 0 1
0 0 0 0
25 0 0 4
31 0 0 2
22 0 0 4
34 0 0 3
2 0 0 0
51 0 0 5
0 0 0 0
13 0 0 1
17 0 0 3
0 0 0 0
63 1 0 5
0 0 0 0
63 0 0 7
89 0 0 11
25 0 0 1
16 0 0 0
0 0 0 0
129 0 0 9
126 0 0 5
41 0 0 4
0 0 0 0
0 0 0 0
36 0 0 1
0 0 0 0
12 0 0 0
0 0 0 0
25 0 0 2
0 0 0 0
59 0 0 9
111 0 0 8
20 0 0 4
93 1 0 11
0 0 0 0
22 0 0 0
180 2 0 13
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
62 0 0 2
0 0 0 0
0 0 0 0
53 0 0 5
49 0 0 4
39 0 0 2
29 0 0 1
21 0 0 4
0 0 0 0
0 0 0 0
4 0 0 0
0 0 0 0
12 0 0 2
